From,To,FlightId,Day,Month,Distance,Occupancy,Fuel_Cost,Ground_Cost,Price
2,1,3,1,3,1717.93,92,168000,1400,3393.959268
7,2,2,7,1,1561.76,98,181000,1925,2635.47
1,3,3,6,9,2079,81,244800,1770,2153.25
7,2,2,5,12,1561.76,84,198000,1925,1405.584
2,1,3,5,1,1717.93,80,1738,1400,1885.532927
7,2,3,2,6,1561.76,83,168000,1925,1634.4
2,1,3,3,12,1717.93,86,1738,1400,2016.700435
2,1,3,5,1,1717.93,86,1738,1400,2186.456364
2,1,3,3,12,1717.93,81,1738,1400,1581.276477
1,3,3,2,5,2079,88,216000,1770,2002
1,3,3,1,1,2079,96,201600,1770,3182.142857
7,2,3,5,4,1561.76,85,198000,1925,1987.694545
5,7,2,2,6,1363.71,79,156800,1850,1694.896714
7,2,2,5,9,1561.76,88,186000,1925,1765.467826
7,2,3,4,4,1561.76,80,204000,1925,1428.439024
1,3,3,1,3,2079,99,208800,1770,4158
1,3,3,2,4,2079,87,208800,1770,2631.234375
1,3,3,6,12,2079,78,216000,1770,2079
1,3,3,6,12,2079,81,237600,1770,2153.25
1,3,3,2,5,2079,83,201600,1770,2420.328358
1,3,3,2,6,2079,89,216000,1770,2103.174419
2,1,3,5,3,1717.93,88,1738,1400,1576.453412
2,1,3,2,3,1717.93,87,1738,1400,1789.510417
2,1,3,7,1,1717.93,93,1738,1400,3116.245116
7,2,2,4,6,1561.76,76,180000,1925,1899.437838
1,3,3,6,9,2079,81,230400,1770,2079
1,3,3,1,1,2079,99,201600,1770,4158
1,3,3,4,5,2079,81,237600,1770,2135.958904
2,1,3,3,6,1717.93,75,1738,1400,2007.97013
5,7,2,7,6,1363.71,99,166600,1850,2761.51275
5,7,2,3,6,1363.71,88,137200,1850,1540.815195
7,2,2,7,1,1561.76,96,168000,1925,3019.402667
2,1,3,3,6,1717.93,75,1738,1400,2197.939853
1,3,3,7,6,2079,90,237600,1770,3981.06383
1,3,3,7,5,2079,93,223200,1770,3543.75
1,3,3,5,6,2079,80,244800,1770,2103.174419
7,2,3,3,5,1561.76,82,174000,1925,1598.507294
7,2,3,7,5,1561.76,100,174000,1925,3159.84
2,1,3,2,6,1717.93,76,1738,1400,2186.456364
1,3,3,4,3,2079,87,208800,1770,2150.689655
1,3,3,3,5,2079,85,237600,1770,1863.931034
2,1,3,6,3,1717.93,86,1738,1400,1850.078462
1,3,3,7,5,2079,93,201600,1770,3450.255319
2,1,3,4,6,1717.93,87,1738,1400,2273.730882
1,3,3,5,3,2079,81,208800,1770,2233
2,1,3,1,3,1717.93,94,1738,1400,2679.9708
2,1,3,2,5,1717.93,84,1738,1400,1786.6472
5,7,2,3,3,1363.71,85,142100,1850,1396.97122
7,2,3,4,5,1561.76,85,204000,1925,2231.085714
1,3,3,5,6,2079,79,216000,1770,2440.565217
1,3,3,3,9,2079,80,208800,1770,2461.973684
7,2,3,7,1,1561.76,96,168000,1925,2537.86
2,1,3,1,3,1717.93,96,1738,1400,3736.49775
2,1,3,3,6,1717.93,88,1738,1400,1916.152692
2,1,3,2,3,1717.93,79,1738,1400,1840.639286
7,2,3,1,3,1561.76,95,168000,1925,2928.3
2,1,3,5,1,1717.93,88,1738,1400,2112.209016
5,7,2,2,6,1363.71,87,147000,1850,1284.424535
1,3,3,4,6,2079,84,223200,1770,2476.455882
4,6,1,2,6,623.48,83,70400,1950,668.0142857
7,2,3,5,6,1561.76,89,168000,1925,2007.977143
1,3,3,2,3,2079,88,223200,1770,1801.8
1,3,3,4,3,2079,83,201600,1770,1981.164706
1,3,3,4,5,2079,83,237600,1770,2359.945946
5,7,2,6,5,1363.71,83,137200,1850,1534.17375
1,3,3,2,6,2079,90,223200,1770,2658.393443
2,1,3,4,4,1717.93,79,1738,1400,1660.665667
4,6,1,4,6,623.48,85,74800,1950,558.982069
1,3,3,3,5,2079,83,208800,1770,2436.328125
5,7,2,3,12,1363.71,88,137200,1850,1660.168696
4,6,1,1,1,623.48,95,72600,1950,1091.09
2,1,3,3,9,1717.93,80,1738,1400,1717.93
1,3,3,2,6,2079,82,216000,1770,2398.846154
1,3,3,2,6,2079,82,201600,1770,1822.044944
1,3,3,5,3,2079,88,223200,1770,2350.173913
2,1,3,3,9,1717.93,86,1738,1400,1717.93
2,1,3,2,3,1717.93,80,1738,1400,1781.557037
4,6,1,2,3,623.48,89,72600,1950,810.524
1,3,3,7,6,2079,93,223200,1770,3378.375
5,7,2,5,3,1363.71,84,151900,1850,1948.157143
7,2,3,6,9,1561.76,80,180000,1925,1637.025542
2,1,3,1,3,1717.93,92,1738,1400,3025.050652
7,2,3,4,6,1561.76,89,180000,1925,1693.474699
1,3,3,5,6,2079,77,237600,1770,1935.62069
1,3,3,7,5,2079,90,201600,1770,3617.46
2,1,3,2,6,1717.93,76,1738,1400,1862.815663
1,3,3,2,6,2079,77,237600,1770,2338.875
1,3,3,5,6,2079,87,244800,1770,2133.710526
7,2,2,6,1,1561.76,90,198000,1925,1634.4
7,2,2,6,5,1561.76,78,180000,1925,1394.428571
1,3,3,2,5,2079,89,230400,1770,2283.971831
1,3,3,2,6,2079,87,244800,1770,2494.8
2,1,3,3,12,1717.93,78,1738,1400,2126.960952
1,3,3,2,6,2079,81,208800,1770,2556.147541
7,2,2,1,4,1561.76,94,180000,1925,2623.7568
5,7,2,6,6,1363.71,87,147000,1850,1504.091912
2,1,3,4,5,1717.93,82,1738,1400,2220.094154
2,1,3,4,3,1717.93,77,1738,1400,2378.672308
4,6,1,3,6,623.48,90,74800,1950,668.0142857
1,3,3,6,12,2079,85,208800,1770,1962.202247
