,From,To,Day,Month,Holiday,Distance,Occupancy
0,2,1,1,3,1,1717.93,92
1,7,2,7,1,1,1561.76,98
2,1,3,6,9,0,2079.0,81
3,7,2,5,12,0,1561.76,84
4,2,1,5,1,0,1717.93,80
5,7,2,2,6,0,1561.76,83
6,2,1,3,12,0,1717.93,86
7,2,1,5,1,0,1717.93,86
8,2,1,3,12,0,1717.93,81
9,1,3,2,5,0,2079.0,88
10,1,3,1,1,1,2079.0,96
11,7,2,5,4,0,1561.76,85
12,5,7,2,6,0,1363.71,79
13,7,2,5,9,0,1561.76,88
14,7,2,4,4,0,1561.76,80
15,1,3,1,3,1,2079.0,99
16,1,3,2,4,0,2079.0,87
17,1,3,6,12,0,2079.0,78
18,1,3,6,12,0,2079.0,81
19,1,3,2,5,0,2079.0,83
20,1,3,2,6,0,2079.0,89
21,2,1,5,3,0,1717.93,88
22,2,1,2,3,0,1717.93,87
23,2,1,7,1,1,1717.93,93
24,7,2,4,6,0,1561.76,76
25,1,3,6,9,0,2079.0,81
26,1,3,1,1,1,2079.0,99
27,1,3,4,5,0,2079.0,81
28,2,1,3,6,0,1717.93,75
29,5,7,7,6,1,1363.71,99
30,5,7,3,6,0,1363.71,88
31,7,2,7,1,1,1561.76,96
32,2,1,3,6,0,1717.93,75
33,1,3,7,6,1,2079.0,90
34,1,3,7,5,1,2079.0,93
35,1,3,5,6,0,2079.0,80
36,7,2,3,5,0,1561.76,82
37,7,2,7,5,1,1561.76,100
38,2,1,2,6,0,1717.93,76
39,1,3,4,3,0,2079.0,87
40,1,3,3,5,0,2079.0,85
41,2,1,6,3,0,1717.93,86
42,1,3,7,5,1,2079.0,93
43,2,1,4,6,0,1717.93,87
44,1,3,5,3,0,2079.0,81
45,2,1,1,3,1,1717.93,94
46,2,1,2,5,0,1717.93,84
47,5,7,3,3,0,1363.71,85
48,7,2,4,5,0,1561.76,85
49,1,3,5,6,0,2079.0,79
50,1,3,3,9,0,2079.0,80
51,7,2,7,1,1,1561.76,96
52,2,1,1,3,1,1717.93,96
53,2,1,3,6,0,1717.93,88
54,2,1,2,3,0,1717.93,79
55,7,2,1,3,1,1561.76,95
56,2,1,5,1,0,1717.93,88
57,5,7,2,6,0,1363.71,87
58,1,3,4,6,0,2079.0,84
59,4,6,2,6,0,623.48,83
60,7,2,5,6,0,1561.76,89
61,1,3,2,3,0,2079.0,88
62,1,3,4,3,0,2079.0,83
63,1,3,4,5,0,2079.0,83
64,5,7,6,5,0,1363.71,83
65,1,3,2,6,0,2079.0,90
66,2,1,4,4,0,1717.93,79
67,4,6,4,6,0,623.48,85
68,1,3,3,5,0,2079.0,83
69,5,7,3,12,0,1363.71,88
70,4,6,1,1,1,623.48,95
71,2,1,3,9,0,1717.93,80
72,1,3,2,6,0,2079.0,82
73,1,3,2,6,0,2079.0,82
74,1,3,5,3,0,2079.0,88
75,2,1,3,9,0,1717.93,86
76,2,1,2,3,0,1717.93,80
77,4,6,2,3,0,623.48,89
78,1,3,7,6,1,2079.0,93
79,5,7,5,3,0,1363.71,84
80,7,2,6,9,0,1561.76,80
81,2,1,1,3,1,1717.93,92
82,7,2,4,6,0,1561.76,89
83,1,3,5,6,0,2079.0,77
84,1,3,7,5,1,2079.0,90
85,2,1,2,6,0,1717.93,76
86,1,3,2,6,0,2079.0,77
87,1,3,5,6,0,2079.0,87
88,7,2,6,1,0,1561.76,90
89,7,2,6,5,0,1561.76,78
90,1,3,2,5,0,2079.0,89
91,1,3,2,6,0,2079.0,87
92,2,1,3,12,0,1717.93,78
93,1,3,2,6,0,2079.0,81
94,7,2,1,4,1,1561.76,94
95,5,7,6,6,0,1363.71,87
96,2,1,4,5,0,1717.93,82
97,2,1,4,3,0,1717.93,77
98,4,6,3,6,0,623.48,90
99,1,3,6,12,0,2079.0,85
100,7,2,4,5,0,1561.76,90
101,7,2,6,9,0,1561.76,79
102,1,3,2,6,0,2079.0,80
103,7,2,5,12,0,1561.76,86
104,2,1,7,1,1,1717.93,96
105,1,3,7,5,1,2079.0,90
106,1,3,4,3,0,2079.0,86
107,1,3,4,3,0,2079.0,78
108,1,3,5,9,0,2079.0,87
109,1,3,6,5,0,2079.0,81
110,2,1,2,3,0,1717.93,84
111,2,1,4,12,0,1717.93,89
112,7,2,5,12,0,1561.76,85
113,1,3,2,6,0,2079.0,81
114,1,3,5,6,0,2079.0,79
115,1,3,7,5,1,2079.0,95
116,1,3,2,6,0,2079.0,84
117,1,3,1,3,1,2079.0,95
118,2,1,6,12,0,1717.93,76
